@ HyperIMU -ianovir - 2018
@ Date:Wed Nov 27 12:15:31 GMT+07:00 2019, Sampling Rate:20ms

K6DS3TR_Acceleration_Sensor.x,K6DS3TR_Acceleration_Sensor.y,K6DS3TR_Acceleration_Sensor.z
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
3.4980354,4.0822387,6.4190507
3.0383348,3.9433706,7.388732
1.7669748,3.0024207,7.431829
3.469304,3.0048149,7.405492
4.3791285,3.100586,7.49408
3.6369035,2.6863763,8.207574
2.2889266,2.0183737,8.482916
3.0886145,1.908237,5.6744313
5.454158,1.7071179,4.338426
7.1157846,1.4485363,5.569083
6.0096297,0.09337672,3.9146392
6.002447,-0.44054657,3.545921
7.2187386,-1.462902,2.9928436
8.868394,-2.473286,2.9856608
9.663293,-2.813273,3.8260512
9.395134,-3.938582,3.354379
9.332883,-5.044737,2.1452703
9.945818,-6.4142623,0.70631105
11.193234,-7.168459,-0.098165266
12.349669,-7.8723755,-0.6847626
13.367236,-8.40151,-0.7039168
14.334523,-8.988108,0.9816527
14.662539,-8.818114,3.4788814
14.70803,-8.377567,4.8364353
14.65775,-8.162083,5.190788
14.29382,-7.8197017,5.7007685
12.847678,-7.678439,5.0638914
11.81814,-7.6975937,4.37434
10.762265,-7.632948,4.209135
10.24989,-7.3767605,4.187587
9.596253,-6.838049,3.7709827
9.641745,-6.7303066,3.4453614
9.433443,-6.811712,2.8084843
8.722343,-6.5148215,2.3751206
8.27222,-6.150892,2.3320236
8.363202,-5.8204823,2.3535721
8.494887,-5.5738716,2.0925963
8.669669,-5.1788163,2.3056867
9.019233,-4.786155,2.631308
9.842864,-4.336032,2.9090438
10.462981,-3.9888618,2.7127132
10.692831,-3.7135203,2.3392065
10.515655,-3.727886,1.8483802
9.974549,-4.168432,1.7717633
9.196409,-4.819675,2.281744
8.839663,-5.209942,2.7893302
8.741497,-5.2865586,3.2633965
9.277815,-5.154874,3.1173458
10.015251,-4.9800916,1.7214836
10.24989,-4.6832013,0.09337672
9.890749,-4.695173,-0.08619389
9.6585045,-5.339233,1.7190893
9.663293,-5.5906315,3.067066
10.017646,-6.8524146,4.024776
10.204399,-8.169266,4.233078
11.2794285,-10.024829,5.3919067
12.263475,-11.09507,5.7534423
13.266677,-11.447028,4.8148866
14.145375,-10.96099,3.4645157
14.509305,-10.35045,2.6744049
15.150971,-10.46777,2.8994668
14.382409,-10.740717,3.529161
13.553989,-10.805362,3.634509
11.382382,-10.721562,3.0622776
9.895537,-10.448615,2.7917244
8.066312,-9.708784,2.5427198
6.689604,-8.751075,2.4014575
5.949773,-7.7526617,2.0255566
5.4709177,-7.1349387,1.2809371
5.00164,-6.629747,0.7972935
4.4126487,-5.973716,0.22745611
3.8092911,-5.5020437,0.019154198
3.2873392,-5.0614967,-0.53392327
3.4286015,-4.8915033,-0.9960183
3.668029,-5.138114,-1.201926
4.005622,-5.437398,-1.0151725
4.72151,-5.734288,0.031125572
5.312896,-5.7366824,0.531529
6.4693303,-5.7295,-0.18914771
7.699988,-6.3472223,-0.9313729
7.762239,-6.708758,-0.99362403
7.431829,-6.8284717,-0.021548472
7.57788,-7.091842,1.6999351
8.387145,-7.553937,2.935381
9.486116,-8.186026,2.7869358
10.898739,-8.7822,2.1285102
12.47896,-9.115005,0.8786988
12.962604,-8.992896,0.35914123
12.878804,-8.559532,0.72785956
12.536423,-8.351231,1.1971374
12.150945,-8.291373,1.5203645
11.32492,-8.516436,1.8435916
10.92747,-8.60263,2.3056867
11.051972,-8.6984005,2.8587642
11.368017,-8.851634,2.7079248
11.1142235,-8.628966,3.050306
10.61382,-8.308133,3.553104
10.089474,-7.4892917,4.1612496
10.156514,-6.7997403,4.146884
10.314536,-6.2682114,3.8356283
10.386364,-5.375147,3.2873392
10.561146,-4.8340406,2.988055
10.635368,-4.005622,2.7725701
10.714379,-3.241848,2.5522969
11.391959,-2.9329867,2.351178
12.083905,-2.9473522,2.3320236
12.476566,-3.2370596,2.597788
12.878804,-3.5914123,3.2274826
13.673703,-4.2665977,3.5962007
13.994536,-5.190788,3.7111259
13.738349,-5.4493694,3.5052183
13.50371,-6.138921,3.0862203
13.070346,-7.3384523,2.885101
12.751907,-8.581081,3.2873392
12.2706585,-9.960183,3.8380225
11.945037,-11.286612,4.40786
11.897152,-12.110242,4.249838
11.911517,-12.390372,4.065479
12.059962,-12.402344,3.8906965
12.1054535,-12.112637,3.258608
12.067145,-11.889969,2.875524
11.930672,-11.4997015,2.142876
11.731947,-11.198023,1.8004947
10.946625,-10.206794,0.9577099
9.8548355,-9.627379,0.5363176
7.9777236,-8.660092,1.201926
6.6800265,-7.9681463,2.4349775
5.748654,-7.206767,3.1700199
5.2841644,-6.6848154,3.067066
4.9968514,-6.2346916,2.482863
4.685596,-5.8324533,1.3455825
4.295329,-5.4230323,0.10055954
3.9673133,-4.72151,-0.4285752
4.4054656,-4.5251794,-0.6368771
5.2051535,-4.743058,-0.65842557
6.114978,-5.39909,-0.6057515
6.5842557,-6.648901,-0.87151605
6.438205,-7.0343795,-0.7901107
5.9234357,-6.881146,-0.19393626
5.2578273,-6.7039695,0.50040346
4.8986864,-6.7734036,2.4996228
4.989669,-6.7207294,4.3025117
6.150892,-6.7829804,4.7071443
7.893924,-7.814913,1.1731946
8.657698,-8.509253,-1.3192455
9.454991,-9.727939,-2.5020173
9.993703,-10.326508,-0.91700727
10.498895,-10.635368,1.2186859
10.965778,-10.958596,2.6217308
12.244322,-11.25788,3.1365
13.553989,-11.4446335,2.6815877
14.681693,-11.502096,2.2075214
15.265896,-11.406325,2.1189332
15.938687,-11.430268,2.4277947
15.943476,-11.12859,2.7893302
14.866053,-10.324113,2.8683412
13.161328,-9.205987,3.2179053
11.980951,-8.197997,3.78056
11.389565,-7.4988685,3.9266107
10.889162,-6.577073,3.4908526
10.625792,-5.7534423,3.4262073
10.673677,-5.030371,3.45015
11.233937,-4.1325183,3.3783216
12.047991,-3.5435266,2.8970726
12.852468,-3.1963568,2.779753
14.157347,-3.337619,3.7350688
14.782252,-2.978478,5.027977
14.933092,-2.257801,5.272193
14.600287,-2.6815877,4.1947694
13.072741,-4.182798,3.8571768
11.88518,-6.1987777,4.1947694
10.654523,-8.667274,4.908263
10.26665,-9.950606,5.5307746
10.522838,-11.803775,5.8851275
11.054367,-12.79261,5.672037
11.777438,-13.788629,5.454158
12.112637,-14.078336,5.6672482
12.57952,-14.178895,5.626546
12.864439,-13.874823,4.824464
12.847678,-13.407939,3.6991546
12.443047,-12.61304,3.2442424
11.782227,-12.110242,3.4812756
11.420691,-11.868421,3.5363438
9.890749,-10.992116,3.4645157
9.019233,-10.40073,3.3112822
8.145323,-9.893144,2.5068057
7.225921,-9.847652,1.9944309
6.081458,-9.694419,1.4868447
4.932206,-9.268238,1.1420691
3.7542229,-8.140534,0.8739103
3.371139,-7.8268843,0.22266756
2.8827069,-8.05434,-0.10774237
2.7582045,-8.269825,0.25858167
2.648068,-7.5252056,1.0510867
3.040729,-7.0152254,1.3096683
3.1053743,-6.2083545,1.4054393
3.519584,-5.810905,1.8292259
4.6544704,-5.97611,2.3870919
5.9904757,-6.282577,2.17879
7.3647895,-6.3711653,1.5227587
8.109408,-6.447782,1.0199611
8.777411,-6.864386,0.15802214
9.033599,-7.185219,-0.076616794
8.810931,-7.937021,0.15083931
8.578687,-8.803748,0.5889916
8.655303,-10.0368,1.7382435
9.016839,-10.503684,2.6720107
9.991309,-10.939442,3.4740927
