@ HyperIMU -ianovir - 2018
@ Date:Sat Dec 14 16:25:00 GMT+07:00 2019, Sampling Rate:20ms

BMI120_Accelerometer.x,BMI120_Accelerometer.y,BMI120_Accelerometer.z
-0.09169006,-10.459808,1.2091827
-0.28800964,-10.241943,1.0607452
-0.28800964,-10.241943,1.0607452
0.57629395,-9.454254,1.1613007
0.7223358,-9.684097,1.0415955
0.44221497,-9.887604,0.9362488
0.3249054,-9.985764,0.9937134
0.2842102,-9.818161,0.83569336
0.45419312,-9.650574,1.1062317
0.43743896,-9.825348,1.0775146
0.47094727,-9.796616,0.82611084
0.46377563,-9.849289,0.77822876
0.43504333,-9.777466,1.0056763
0.5954437,-9.593109,1.2044067
0.6361542,-9.566772,0.9386444
0.98091125,-9.566772,0.91230774
1.2275238,-9.789429,0.8883667
1.7015686,-9.808594,0.79260254
2.5371552,-9.53804,0.91230774
3.1524506,-9.253128,0.8524475
3.5020142,-9.686478,1.0655365
4.1556244,-10.213211,1.2618561
4.3854675,-10.134201,1.2187653
5.3958282,-9.499741,1.158905
6.442093,-9.052017,0.94343567
6.7964325,-9.128632,0.625
6.679123,-9.760712,0.95062256
7.466812,-10.512482,1.6114197
7.620041,-10.522064,1.2115784
7.7996063,-10.505295,1.2618561
8.42688,-10.876404,2.4876862
8.735733,-11.326508,1.6832428
8.510681,-11.360031,1.1445465
8.905731,-12.142929,1.395935
9.25528,-12.176453,1.0703278
9.216965,-11.738312,0.44303894
8.929672,-11.697617,0.18925476
8.2664795,-12.157303,1.3312988
8.220978,-12.229126,2.6720428
7.8235474,-11.644943,2.229126
7.7373505,-10.7686615,1.2953796
7.1603546,-10.404739,1.1062317
6.482788,-10.4717865,1.2259521
4.7757263,-10.122223,1.6784515
3.7246704,-9.2148285,1.2642517
2.7885437,-7.627472,0.77822876
1.1413269,-7.16539,-0.2967682
-0.36941528,-7.079193,-0.4667511
-1.3725891,-6.885269,0.22277832
-1.5904541,-6.3681183,-0.60801697
-1.3510284,-5.901245,-0.7732086
-1.1451416,-5.592392,-0.81869507
-1.2193604,-5.731262,-0.5673065
-1.0852814,-6.1239166,-0.0262146
-0.8434601,-6.2148895,-0.2321167
-0.13238525,-6.0808105,-0.46914673
0.26264954,-6.607544,-0.3757782
0.9210663,-7.5508575,-0.29197693
1.2466736,-8.6258545,0.13658142
1.7446747,-9.358475,0.3400879
3.1333008,-10.30658,0.6633148
4.928955,-10.787811,0.5531769
5.264145,-10.86203,-0.39971924
5.3383636,-12.14772,-0.98150635
5.8171997,-13.543549,-0.57928467
6.130844,-14.71431,0.14376831
5.996765,-15.28653,1.1684875
6.549835,-16.28012,0.8907623
7.0765533,-16.84993,0.85484314
7.423706,-17.137238,0.5340271
7.3255463,-17.218643,0.8476715
7.1364136,-17.235397,1.1565247
6.7341766,-17.206665,1.4462128
6.29126,-16.670364,0.75668335
5.69989,-16.265747,-0.07649231
5.130066,-16.28012,1.0320129
5.0127563,-15.470871,1.4964905
4.8762817,-14.623322,0.8021698
4.682358,-13.572281,-0.04536438
4.0957794,-12.559525,-0.3685913
3.592987,-12.372772,0.5843048
3.4397583,-11.510864,0.7255554
2.9273987,-10.138992,-1.1634674
2.6329193,-9.657761,-0.13395691
2.5587006,-9.186096,1.0607452
2.556305,-8.374466,0.6728821
2.714325,-7.632263,-0.98150635
2.5371552,-7.2156677,-0.6151886
2.8196564,-7.069626,0.5076904
3.0112,-6.1598206,0.6633148
2.7885437,-6.1717987,-0.23451233
2.6664276,-6.3322144,-0.260849
2.5826416,-6.7631683,0.7710571
2.5299683,-7.0528564,0.95539856
2.3527985,-7.031311,0.2778473
3.320053,-7.220459,-0.22492981
3.9138184,-7.364105,-0.10762024
3.9281769,-7.972229,0.02645874
3.4876404,-8.88443,-0.0070648193
3.0686646,-10.1006775,-0.12916565
3.3822937,-11.259476,0.24432373
4.5363007,-11.676071,0.20362854
5.64003,-11.711975,0.5531769
6.4684296,-12.039978,0.53881836
6.849106,-13.091034,0.70401
7.0933075,-14.843597,1.1277924
7.6415863,-16.438126,2.2434845
8.288025,-17.060623,2.0279999
8.66391,-17.38623,1.7766113
8.845871,-18.42772,1.7742157
8.1707,-19.28244,1.2642517
8.410126,-18.90895,1.111023
8.5633545,-18.147598,1.1230011
8.153946,-17.180328,0.1796875
8.127609,-16.677551,-0.03340149
7.9863586,-16.287292,0.50289917
7.5841217,-15.609741,0.8596344
7.126831,-14.324051,0.40234375
6.94487,-13.383133,0.05757141
6.2457733,-12.092651,0.3975525
5.4963837,-11.07991,0.5771179
5.0678253,-10.000122,0.76387024
4.545883,-9.277069,0.6465454
3.5881958,-8.206863,0.12461853
2.9992218,-7.000183,-0.07170105
2.5347595,-6.399246,-0.08847046
1.8595886,-5.4200134,-0.2895813
1.9314117,-4.4312134,-0.47633362
1.8883209,-3.9403992,-0.7013855
1.457367,-3.9092712,-0.7492676
1.1963959,-3.8039246,-0.68463135
0.9066925,-3.6100006,-0.3685913
0.83247375,-3.9188538,-0.34944153
0.5954437,-4.275589,-0.48590088
0.4230652,-4.4431763,-0.35421753
0.34884644,-4.7472534,0.00491333
0.58587646,-5.5062103,0.62020874
1.1030273,-5.774353,0.407135
0.88275146,-6.346573,-0.8210907
1.5148163,-7.08638,-0.68463135
2.142105,-8.302643,-0.22492981
2.786148,-9.937881,0.22038269
3.5546875,-10.747116,0.6752777
5.493988,-12.806122,0.08869934
7.169922,-13.632126,0.17010498
7.4452667,-13.842819,0.30897522
7.9312897,-15.087799,0.82133484
8.513077,-16.088577,1.3241119
9.3893585,-17.714249,1.1445465
9.6072235,-17.276108,0.78541565
10.057343,-17.118088,0.7973938
9.676651,-17.438904,0.5771179
8.620819,-17.845917,0.6848602
7.4261017,-17.788467,1.3552399
6.791641,-17.199493,1.7598572
6.1883087,-16.05745,1.3791809
5.379059,-15.710297,0.62260437
5.003174,-15.499603,0.49093628
5.2856903,-14.259415,1.0894775
5.2282257,-12.626556,0.37361145
4.9864197,-11.709579,-0.3302765
4.7733307,-11.534805,0.11264038
3.8826904,-10.92189,0.32572937
3.1764069,-9.985764,0.36642456
3.1548462,-9.23877,0.7614746
3.3009033,-8.597122,0.02885437
3.4828644,-8.027298,-0.016647339
3.3918762,-7.3066406,0.16770935
3.4206085,-7.0241394,-0.16508484
3.5355377,-6.6410522,-0.78518677
3.5068054,-6.0640564,-1.038971
3.411026,-6.2556,-0.45239258
2.9273987,-6.607544,-0.5026703
2.312088,-7.06723,-0.9072876
1.9529572,-7.445511,-0.9192505
2.240265,-7.754364,0.1222229
2.7957153,-7.6178894,0.51008606
3.193161,-8.087158,0.4262848
3.3727264,-8.484589,-0.30873108
3.6839752,-9.581146,0.88597107
5.209076,-10.54361,1.802948
7.04303,-11.048782,1.6904297
7.462021,-12.111816,0.9458313
7.5362396,-13.718323,1.3384705
7.423706,-14.857956,1.7598572
7.703842,-16.002396,1.3672028
7.708618,-15.7725525,0.3400879
7.7804565,-15.6384735,0.57951355
8.118027,-16.203506,1.9992828
8.228165,-16.87149,1.8867493
8.817139,-16.864304,0.56993103
9.4492035,-16.05745,0.8668213
9.422867,-16.572205,1.3528442
9.45639,-16.981613,1.6784515
9.767639,-16.208282,1.644928
10.14592,-14.5946045,1.1062317
9.944809,-13.670441,1.7646484
9.056564,-13.419052,1.3695984
8.0533905,-12.499664,0.71598816
7.356674,-11.793381,1.0104675
6.427719,-10.519669,1.7263336
6.138031,-10.22757,1.8436584
5.1204987,-8.987381,1.2881927
