@ HyperIMU -ianovir - 2018
@ Date:Thu Nov 21 16:18:56 GMT+07:00 2019, Sampling Rate:20ms

BMI120_Accelerometer.x,BMI120_Accelerometer.y,BMI120_Accelerometer.z
-9.062759,-8.338547,1.5012817
-8.378021,-8.800629,2.1788483
-7.1617584,-9.38002,1.7670441
-6.666168,-9.0616,0.46220398
-7.4777985,-8.814987,0.61782837
-8.102692,-8.601913,1.3265076
-6.7188416,-7.9458923,3.1796112
-6.2878723,-8.156586,3.7949219
-6.3980103,-7.2491913,2.6145935
-7.7028503,-6.90921,2.2434845
-8.203247,-7.045685,1.7885895
-7.710037,-7.06723,1.6353607
-6.702072,-6.8948517,1.9490051
-6.1059265,-6.442337,1.9657593
-5.761154,-5.9587097,1.9992828
-5.404419,-6.308258,2.7031708
-5.0357056,-6.643448,2.8516083
-4.3198395,-6.5812073,2.5954285
-4.5688477,-6.243622,2.7965393
-4.9638824,-6.061661,2.9138641
-5.4235687,-7.0600433,3.3831177
-5.2847137,-7.237213,3.600998
-5.2057037,-6.729645,3.7230988
-5.955078,-4.553314,2.5834656
-7.3509064,-4.203766,1.7287292
-8.823334,-5.252426,2.4757233
-8.4665985,-5.2811584,3.2586212
-6.716446,-4.8908997,5.0494843
-5.4499054,-4.699356,5.858734
-5.4810333,-4.888504,4.0415344
-6.1777496,-5.199753,2.6744385
-6.247177,-5.5947876,2.2698212
-5.3469543,-5.829422,1.8891449
-4.5520782,-6.51178,1.9011078
-4.7819214,-6.832596,2.10701
-5.7444,-7.2156677,2.494873
-6.795456,-7.330597,3.1341248
-8.030853,-7.572403,3.577057
-7.583145,-7.907593,2.9378052
-7.322174,-8.087158,2.1908112
-7.5376587,-8.077576,1.9657593
-8.955017,-8.561203,3.557907
-9.170502,-8.889221,3.7063446
-8.844894,-8.98259,2.9090729
-8.780243,-9.068787,2.4421997
-9.898331,-9.542831,2.7821808
-10.477737,-9.612259,3.0000458
-10.537582,-9.530869,2.695984
-10.17128,-9.801407,2.4062958
-10.34845,-11.204407,2.7821808
-11.200775,-11.896332,3.7566223
-12.014816,-11.249893,4.1612396
-12.112976,-8.384033,4.1061707
-11.23909,-6.67218,4.151657
-8.995728,-5.070465,2.877945
-7.417938,-4.768799,0.7471161
-6.7140503,-4.778366,-0.09326172
-6.726013,-5.3649445,-0.08128357
-7.164154,-5.9180145,0.76387024
-7.4706116,-6.8421783,3.0742798
-7.6046906,-7.055252,3.3112946
-7.5663757,-7.0767975,2.4996643
-7.717224,-7.045685,1.688034
-8.4665985,-6.825409,0.8332977
-9.26387,-7.220459,1.1445465
-9.464981,-7.620285,1.1014557
-9.3476715,-7.9770203,1.4988861
-9.955795,-8.597122,2.6074066
-9.52005,-8.671341,2.8181
-9.091492,-8.874847,1.9585724
-8.8927765,-8.810211,0.62020874
-8.665329,-8.477417,1.213974
-8.129013,-8.245178,2.58107
-7.9374847,-8.041672,2.8396454
-7.990158,-7.828583,2.7366943
-7.9686127,-8.144623,2.1884155
-7.760315,-8.103912,2.6074066
-7.341324,-8.132645,3.0934296
-6.510544,-7.8357697,2.8611908
-6.223236,-7.627472,2.8492126
-6.369278,-7.8932343,3.0455475
-6.2591553,-8.510925,3.7135315
-4.9040375,-8.633041,4.7693634
-3.6638336,-8.099121,4.889084
-3.1371155,-6.279541,2.8157043
-4.5999603,-5.922806,1.9226685
-6.0700073,-5.8414,2.50206
-5.9886017,-6.0879974,4.170822
-5.2487946,-5.6211243,4.261795
-4.5377197,-5.4870605,4.079834
-4.4060364,-5.489456,3.3136902
-4.5329285,-5.520569,1.6832428
-4.7388306,-5.3290405,1.1182098
-4.9758606,-5.2021484,1.2451019
-4.3509674,-5.149475,2.4565735
-4.130707,-5.714508,3.1484985
-4.3749084,-6.399246,3.5650787
-4.736435,-6.540497,3.6321259
-4.6430664,-6.6290894,3.557907
-5.5767975,-6.916397,3.3807373
