@ HyperIMU -ianovir - 2018
@ Date:Sat Dec 14 15:42:30 GMT+07:00 2019, Sampling Rate:20ms

LSM6DS3_Accelerometer.x,LSM6DS3_Accelerometer.y,LSM6DS3_Accelerometer.z
0.0,0.0,0.0
6.065323,-6.151474,6.0034943
6.9841766,-5.27092,2.7899323
6.6348114,-5.0483856,3.598709
7.831238,-4.8832703,3.397705
7.1492767,-5.3977356,5.529709
6.2447815,-5.3642273,3.507782
6.8358154,-5.6441956,4.4720917
6.859741,-5.4336243,4.1179504
6.854965,-5.165634,3.8092651
7.7068024,-5.1560516,3.7853394
7.7115936,-4.931137,4.137085
7.1803894,-5.268524,4.3739777
6.283081,-5.407303,3.6130676
6.582184,-5.577194,3.4455566
7.364624,-5.6107025,3.8643036
7.28566,-5.1847687,4.350052
6.574997,-5.4599457,3.5580292
6.694641,-5.474304,4.0605164
7.0511627,-5.3522644,4.2998047
7.1684113,-5.1512756,4.1681976
7.656555,-5.0938416,3.9959106
7.6493683,-5.000519,4.235199
7.3694153,-5.14888,4.5390778
7.2880554,-5.079483,4.2495575
7.3263397,-5.0196686,3.8690948
7.623062,-4.7229614,4.670685
7.6756897,-4.3377075,4.704193
7.7474823,-4.311386,4.670685
7.948471,-4.0386047,4.3859406
8.211685,-3.583969,4.3931274
8.285873,-3.624649,4.2016907
8.331329,-3.7921448,4.6084747
8.477295,-3.837616,4.440979
8.025055,-4.478897,4.103592
7.623062,-4.8067017,4.362015
7.6756897,-5.124954,4.1801605
6.7951355,-5.522156,3.067505
7.0535583,-6.0270386,2.0960083
6.5319214,-6.27829,2.0385895
6.5558624,-6.622864,2.2539368
6.419464,-6.6419983,0.77757263
7.0487823,-7.2258453,1.3159485
6.694641,-8.527542,1.9715881
5.4958344,-9.89624,1.1723785
5.2039185,-10.233627,1.5982971
5.378586,-10.013489,1.4978027
4.9000244,-9.733536,-0.12452698
4.6033173,-9.5516815,-0.20109558
5.8404083,-9.09465,1.1293182
5.3355103,-9.307602,1.3901215
4.426239,-9.511002,0.9163513
4.9215546,-9.867523,2.2443695
6.01268,-10.49205,1.646164
5.7183685,-10.539917,1.083847
6.05336,-10.824661,1.5336914
7.960449,-12.138321,3.2828522
7.228241,-11.676498,2.545868
8.022659,-10.36763,1.2226257
8.960648,-9.817276,0.8134613
9.226242,-9.161652,0.85414124
9.326752,-9.05397,1.1101685
8.482071,-7.445984,1.6437683
7.886261,-7.2593536,1.5695953
7.4603424,-7.177994,2.3137512
7.3622437,-6.4745026,2.7947235
8.321762,-5.342697,5.0559387
10.870117,-3.241806,7.1807556
10.16423,-1.7989349,5.209076
10.511185,-1.7606506,5.3382874
12.219666,-1.2342224,8.762421
14.112396,1.1322784,10.576172
14.004715,1.1370697,7.099411
12.85376,0.045944214,4.943466
12.798737,-2.7704163,4.3285217
10.927536,-5.1010284,4.424225
8.087265,-7.1684265,3.4623108
6.7951355,-8.194946,3.0411835
9.910599,-9.180786,6.21167
11.506607,-9.740707,8.831802
10.901215,-10.671509,8.673889
12.107208,-12.021072,7.3004
14.385178,-12.303421,8.391525
14.377991,-11.439606,8.709778
14.117172,-11.351074,7.379364
14.595734,-10.855759,6.611267
14.555069,-10.566238,5.723526
14.823059,-9.71199,5.59671
15.210693,-8.678299,5.323929
15.390152,-8.7453,5.106186
14.330139,-8.549088,5.5105743
12.059341,-8.096832,4.9410706
10.824646,-7.1516724,3.7159576
10.468124,-5.651367,2.3496552
10.221664,-5.567627,2.0098724
9.336319,-5.5652313,2.098404
6.2232513,-5.715973,2.5123596
4.0505676,-4.749283,1.9452667
3.595932,-4.541107,0.89242554
3.5097961,-4.8880615,1.296814
3.4284363,-5.62027,1.3685913
4.3664246,-6.271118,0.55981445
5.47908,-6.7281494,-0.009674072
4.4573517,-8.051376,-0.44277954
3.9309235,-11.252975,0.55981445
4.651169,-11.992355,3.4599152
