@ HyperIMU -ianovir - 2018
@ Date:Sat Dec 14 15:53:12 GMT+07:00 2019, Sampling Rate:20ms

LSM6DS3_Accelerometer.x,LSM6DS3_Accelerometer.y,LSM6DS3_Accelerometer.z
0.0,0.0,0.0
7.113388,-4.976593,5.5488586
7.278488,-4.926346,3.7566376
7.8216553,-4.6033173,3.1871338
7.8168793,-4.289856,4.4960175
7.972412,-4.2252502,4.3285217
7.3622437,-4.536316,3.4575348
7.331131,-4.6942444,3.988739
7.6828766,-4.643997,4.9075775
7.903015,-4.495636,3.9241333
7.3000183,-4.6128845,3.2684937
7.4244537,-4.6128845,3.089035
7.2019196,-4.5602417,4.297409
7.209091,-4.9909515,3.948059
6.4457855,-5.0555573,2.4740753
6.25914,-4.9789886,1.880661
7.307205,-5.6154785,4.5343018
7.496231,-5.6274414,4.247162
7.8144836,-4.9981384,2.6343994
8.020264,-4.778,3.2565308
8.704605,-5.1560516,3.7231293
8.417465,-5.06752,3.3330994
8.3528595,-4.8545685,2.8856506
8.336121,-4.8258514,2.899994
8.343292,-4.742096,2.797104
8.309799,-4.6368103,2.4692993
8.496429,-4.3903503,2.4956207
8.357651,-4.849777,2.6152496
7.977188,-5.16803,2.2324066
8.094437,-5.0029144,2.1630096
8.010696,-5.2852783,2.6798553
6.9674225,-5.974411,2.1797638
6.912384,-5.78537,2.2371826
7.1564484,-5.5532684,2.785141
7.3909454,-5.4838715,2.8282166
7.742691,-5.04599,2.608078
8.005905,-4.009903,2.3592224
8.896042,-3.3662262,3.0555267
9.800522,-2.519165,3.8882294
10.066132,-1.906601,3.2110596
10.537506,-1.614685,2.8617096
11.142899,-1.6410065,4.704193
10.992142,-1.1408997,6.80748
10.728943,-0.61209106,6.977371
11.578384,0.55799866,6.2690887
12.502014,1.5007782,6.0657043
13.133728,1.7520142,5.4507446
12.89444,1.306961,5.14447
12.765228,0.10096741,4.4601135
12.492447,-0.5642395,4.141876
12.803513,-0.04020691,4.5127563
12.925552,-0.652771,5.3430786
13.42804,-0.97579956,5.5416718
13.667328,-0.9662323,4.6491547
12.77002,-1.1504669,4.618042
12.48288,-1.002121,5.49382
13.308395,-0.78915405,5.2042847
13.813293,-0.61209106,3.9719849
13.483078,-1.2342224,3.6322021
11.93013,-2.0071106,4.584549
10.951477,-2.423462,4.8046875
8.915176,-4.1438904,4.433792
7.453171,-4.8832703,3.9121704
6.0150757,-6.4457855,1.7873383
4.6344147,-7.2306366,0.26789856
1.9257507,-8.092056,-0.25852966
0.91596985,-8.955856,0.20329285
2.2128754,-8.675903,0.5622101
5.548477,-7.0822754,0.9857483
6.747284,-5.361847,1.3111725
6.9722137,-5.0603485,1.1891327
7.1636353,-5.5173798,0.21046448
8.051376,-5.7351227,0.43778992
9.510986,-6.129944,1.3494568
9.317169,-7.0128937,1.8136597
8.764435,-7.9173737,1.1628113
9.302811,-8.001129,0.6603241
10.654755,-8.032227,0.88046265
11.217072,-8.130341,1.1699829
11.49704,-8.407898,1.6485596
11.468323,-8.135117,1.6533356
12.403915,-7.967621,1.8710938
13.34668,-7.5751953,1.9237213
13.839615,-7.7427063,2.024231
14.210495,-7.572815,2.270691
14.428238,-7.532135,2.4046783
13.992752,-7.625458,2.2371826
13.897034,-7.2258453,2.5195465
14.473709,-6.644394,2.986145
12.767624,-5.9767914,2.6990051
11.889465,-5.4312286,2.888031
12.511597,-4.8426056,3.1464539
11.39415,-3.069519,3.0220337
10.587769,-2.4761047,2.8018951
11.638214,-2.5742035,2.6176453
12.231628,-2.5383148,2.6798553
11.614288,-2.1650238,2.5482483
11.954071,-1.4567566,3.0818481
12.13353,-1.4758911,2.8904266
12.042603,-1.9927521,2.854538
12.389557,-2.868515,3.6011047
11.781784,-2.1961365,3.8810577
10.5590515,-1.2150726,4.005478
9.71199,-1.7486725,3.5843506
9.21907,-3.0360107,2.2563324
8.9104,-4.4525757,1.4643097
9.805313,-5.371414,2.2036896
11.398926,-5.749481,3.988739
11.552063,-6.620468,4.1179504
11.528137,-7.788162,4.744873
12.181381,-8.044189,4.9291077
13.913788,-7.962845,3.931305
15.438019,-7.800125,2.3017883
16.098434,-8.113586,2.9622192
15.672516,-8.096832,4.228012
14.141098,-8.041809,4.630005
13.358658,-7.716385,3.5341034
13.083481,-7.548889,2.0792694
12.451767,-7.142105,2.2395782
10.913193,-6.981781,2.4453583
9.499023,-6.603714,2.744461
9.510986,-6.438614,1.8232269
7.733124,-5.6107025,0.7536316
6.2447815,-5.258957,1.3685913
6.7496796,-5.6944427,2.5219269
6.5271454,-5.098633,1.6772614
5.2900543,-4.323349,0.97377014
4.8138733,-4.502823,1.050354
6.283081,-6.1825867,2.222824
5.617874,-6.512787,2.1438751
5.0531616,-6.9387054,0.9283142
4.988556,-6.756851,1.4092712
5.172806,-6.4122925,2.2395782
5.7422943,-5.079483,2.0385895
7.0176697,-4.3448944,1.1316986
7.886261,-4.0745087,0.37556458
8.326538,-4.38797,0.7177429
8.355255,-5.124954,0.93310547
8.163834,-6.0844727,0.84935
7.9867706,-6.6587524,1.083847
8.644791,-7.1612396,1.6724854
9.0802765,-7.4651337,1.7514496
9.491852,-7.8025208,1.5576324
10.42984,-7.8886566,1.4930267
12.408707,-7.960449,2.6607208
14.095642,-7.6613464,3.6345978
13.803711,-6.6683197,2.7827454
13.925751,-6.5965424,2.1917267
14.110001,-6.082077,2.4262238
14.7752075,-5.596344,2.4812622
15.433228,-5.9121857,2.3999023
13.612289,-5.21109,2.3711853
12.50441,-4.754059,1.9380798
12.863342,-4.672714,2.258728
12.310593,-3.7897644,2.5721893
11.891846,-3.9524689,2.5697937
11.920563,-3.878296,3.9504547
11.920563,-3.4332275,3.952835
12.896835,-4.483673,4.412262
13.239014,-3.4667206,5.814453
13.676895,-1.9999237,5.620636
13.234222,-0.13352966,5.311966
12.15506,1.8309784,4.103592
12.200531,1.8477325,4.1346893
11.585571,0.99827576,3.6800537
10.901215,-0.30819702,3.3307037
10.994537,-1.7821808,3.4623108
11.032822,-2.6770935,3.3163452
11.178787,-3.9381104,3.2158508
11.695633,-5.6729126,3.323532
12.095245,-6.752075,4.543869
12.513977,-7.491455,4.708969
13.136124,-8.080093,5.221039
13.574005,-8.819473,5.443573
13.459152,-9.168823,4.4050903
13.317978,-9.05397,3.5317078
13.363434,-8.159058,3.845169
13.1193695,-7.6493835,4.0078735
12.449371,-7.658951,3.1488495
11.796143,-7.584778,2.5602264
10.733719,-7.3000336,2.8593292
9.580383,-6.9171753,3.1679993
7.211487,-6.5558624,4.3165436
6.8142853,-6.3381195,3.306778
7.410095,-6.110794,0.58135986
6.9482727,-5.883484,0.0597229
6.0437927,-5.5365143,0.58613586
6.615677,-6.9961395,2.057724
6.5558624,-7.7235565,3.0555267
5.625046,-8.383972,2.017044
4.849777,-9.063538,1.1652069
4.237213,-8.187759,1.9883423
4.581772,-7.003311,2.366394
5.0435944,-5.9193726,1.021637
6.5702057,-5.4910583,-1.1797638
8.113586,-5.62027,-0.43081665
8.537109,-5.6370087,1.4499512
7.9197693,-6.5654297,1.5145569
7.2713165,-7.3335266,0.61006165
7.3670197,-7.934128,0.68185425
8.115982,-8.534729,1.8351898
9.175995,-8.556259,3.2302094
10.137909,-8.544296,3.6633148
10.762436,-8.027451,3.048355
11.602325,-7.5799866,3.0435638
12.159851,-6.988968,3.0866394
13.459152,-6.5151825,3.0579224
14.404312,-6.2591553,2.9023895
13.911392,-5.39534,2.1486511
13.715179,-4.9048157,1.8304138
13.964035,-4.7349243,2.0720825
13.461548,-4.9813843,2.8736725
12.490051,-4.639206,3.4407806
12.521164,-4.021866,3.8403778
12.896835,-3.315979,3.548462
13.267715,-2.732132,3.3043823
14.550278,-2.9570618,3.225418
15.064728,-3.500229,3.7853394
14.442596,-2.0023193,4.555832
13.999924,0.081832886,4.2950134
12.827438,1.3452454,3.5652008
12.028244,1.4816284,2.4740753
11.377396,0.4335785,1.5289154
10.822266,-0.27947998,2.0074768
11.028046,-1.3347168,2.895218
11.72435,-3.241806,3.7614136
11.966034,-4.7756042,4.4266205
11.834427,-5.2900543,5.127716
12.336914,-6.1083984,5.424423
13.507004,-7.7809906,5.4746704
14.385178,-8.283478,6.54187
14.562241,-8.151871,6.6040955
14.887665,-7.7139893,5.149246
14.490463,-7.898239,4.0365906
14.076492,-7.898239,4.330902
13.002121,-8.010696,4.567795
11.678894,-8.295441,4.218445
10.090057,-7.9915466,2.1366882
9.381775,-7.2593536,1.6940155
8.364838,-6.419464,2.7085724
7.6421967,-6.62764,2.670288
6.8453827,-6.1993256,1.2202454
6.7736053,-5.53891,1.5241241
6.2447815,-5.297241,2.029007
5.53891,-5.4599457,1.8327942
5.349869,-5.979187,1.3638153
6.0557556,-7.4029236,1.6629181
4.96463,-7.565628,2.0433655
4.9694214,-8.884079,1.2130585
4.9000244,-9.274109,2.550644
4.8641357,-8.671112,3.6298065
4.26593,-7.1564636,1.9979095
6.0964355,-6.5367126,-0.09341431
8.151871,-6.1371155,0.55503845
8.989365,-5.967224,1.0814514
8.482071,-6.4003296,0.6674957
8.484467,-7.067917,0.98095703
8.915176,-7.3574524,1.5911255
9.21907,-7.778595,1.4236298
9.853165,-8.592148,1.9572296
11.1835785,-9.2812805,3.5915222
10.910797,-9.003723,3.8332062
11.595139,-8.333725,3.713562
13.224655,-7.8719177,4.0605164
13.791748,-7.3454895,3.7781677
13.375397,-6.479294,3.5723877
13.131332,-6.402725,3.5747833
13.308395,-5.8715057,3.376175
13.148087,-5.3474884,2.9502563
12.633621,-5.2828827,2.7253265
12.432632,-4.8952484,3.002884
12.427841,-4.311386,3.273285
12.097626,-3.5887604,3.2014923
11.855957,-2.7823792,3.151245
12.356064,-2.078888,2.9622192
13.664932,-2.0645294,1.9955139
14.380386,-1.7869568,3.0005035
15.677292,-1.0691223,3.7781677
16.502823,-0.12634277,4.4266205
16.651169,0.87864685,4.3476562
16.124756,1.7161255,2.780365
14.925949,1.043747,1.2585297
13.882675,-2.0166779,2.115158
13.392151,-4.311386,3.993515
13.07869,-6.2974396,5.701996
13.605118,-7.582382,7.6186523
13.526154,-9.374603,7.5827484
12.693451,-10.099625,7.4056854
13.406509,-9.487076,7.654541
14.425858,-9.123352,6.3169556
15.533722,-8.419876,4.5366974
15.801727,-8.5251465,3.7638092
14.050171,-8.721359,5.2282104
12.681488,-8.7261505,6.0537415
11.451569,-8.608902,6.017853
10.561447,-8.257156,4.3691864
9.489456,-7.4268494,3.9648132
7.0200653,-7.405319,4.4026947
5.823654,-7.1277466,3.3378906
5.2709045,-6.029434,1.1029968
4.16304,-4.792343,0.5263214
3.859146,-4.770813,0.9665985
4.1654205,-4.816284,1.3327026
3.9979248,-4.084076,0.93548584
4.096039,-4.959854,-0.102996826
4.198929,-6.9913483,-0.74905396
5.43602,-7.7977295,1.7658081
5.9432983,-8.326553,3.5460663
6.407501,-9.149673,2.4788666
6.7209625,-9.518173,1.6437683
7.766617,-9.448776,2.7133636
8.221268,-9.109009,3.3019867
8.618469,-8.616074,2.4046783
9.061142,-8.809906,1.2417755
9.089859,-8.45816,0.6004944
9.920166,-8.527542,0.3013916
12.061737,-8.836227,1.40448
13.499832,-9.982376,2.8521423
11.769821,-9.898636,2.9071808
11.305603,-10.434631,2.8569336
12.09285,-10.154663,3.278061
14.1219635,-9.499039,2.945465
14.6436,-8.757263,2.5243225
14.468918,-7.807312,2.6296082
14.720169,-7.445984,2.6463623
14.246384,-6.735321,3.1105652
12.707809,-5.4767,3.404892
11.552063,-4.955063,2.9215393
10.585373,-4.2539673,2.7899323
10.745682,-3.866333,3.8810577
